mode,n,win_rate,total_pnl,avg_pnl,sharpe,mdd,tp_rate,sl_rate,avg_hold,symbol
MR,108,49.1,10.8046,0.1,20.491,1.67,20.4,41.7,2.9,AAVE/USDC:USDC
TREND_v1,540,43.0,-1.1169,-0.0021,-0.38,4.33,13.5,38.7,3.1,AAVE/USDC:USDC
TREND_v2,298,45.3,42.2869,0.1419,23.027,2.92,18.1,37.9,3.1,AAVE/USDC:USDC
MR,114,43.9,2.916,0.0256,5.748,2.25,11.4,44.7,2.9,APE/USDC:USDC
TREND_v1,524,41.8,-20.732,-0.0396,-5.556,7.13,14.1,38.5,3.0,APE/USDC:USDC
TREND_v2,303,39.9,-12.797,-0.0422,-5.694,7.75,13.9,41.6,2.9,APE/USDC:USDC
MR,88,50.0,38.5322,0.4379,56.22,1.14,25.0,37.5,3.0,AXS/USDC:USDC
TREND_v1,358,45.0,45.3304,0.1266,13.744,6.61,15.1,41.9,3.0,AXS/USDC:USDC
TREND_v2,203,48.3,59.7989,0.2946,29.401,3.5,21.2,39.9,3.0,AXS/USDC:USDC
MR,82,42.7,-3.579,-0.0436,-18.84,1.27,14.6,46.3,2.6,BTC/USDC:USDC
TREND_v1,614,42.0,-0.9841,-0.0016,-0.522,3.2,16.1,39.1,3.1,BTC/USDC:USDC
TREND_v2,359,43.5,19.3128,0.0538,16.218,1.23,20.3,40.4,2.9,BTC/USDC:USDC
MR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHIP/USDC:USDC
TREND_v1,11,72.7,22.2962,2.0269,153.436,1.04,9.1,9.1,3.6,CHIP/USDC:USDC
TREND_v2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHIP/USDC:USDC
MR,75,29.3,-19.2855,-0.2571,-83.905,3.26,12.0,64.0,2.4,ETH/USDC:USDC
TREND_v1,624,46.0,37.6094,0.0603,14.106,3.44,15.4,33.8,3.2,ETH/USDC:USDC
TREND_v2,348,44.8,16.9466,0.0487,10.877,2.83,18.1,35.3,3.2,ETH/USDC:USDC
MR,100,56.0,64.8952,0.649,72.414,2.23,24.0,30.0,3.1,FARTCOIN/USDC:USDC
