symbol,fold,is_start,is_end,oos_start,oos_end,is_sharpe,param_adx_rising_bars,param_adx_min,param_z_entry_min,param_z_entry_max,param_sl_mult,param_max_hold_bars,oos_n,oos_sharpe,oos_total_pnl,oos_win_rate,oos_mdd,oos_tp_rate,oos_sl_rate,oos_avg_hold
AAVE/USDC:USDC,0,0,2160,2160,2880,22.476,2,28.0,1.2,3.0,1.5,8,13,3.093,0.6648,53.8,0.57,7.7,38.5,6.5
AAVE/USDC:USDC,1,720,2880,2880,3600,30.057,4,28.0,1.5,2.5,2.0,6,16,-37.686,-13.5041,37.5,3.03,0.0,25.0,5.3
AAVE/USDC:USDC,2,1440,3600,3600,4320,15.318,3,25.0,1.0,2.5,1.0,4,37,0.7,0.3126,43.2,0.81,2.7,37.8,3.3
AXS/USDC:USDC,0,0,2160,2160,2880,15.433,4,22.0,1.5,2.0,1.0,8,17,5.039,1.6856,35.3,0.73,23.5,58.8,4.5
FARTCOIN/USDC:USDC,0,0,2160,2160,2880,14.564,4,28.0,1.5,3.0,2.0,6,23,2.154,1.7251,43.5,1.86,0.0,17.4,5.5
FARTCOIN/USDC:USDC,1,720,2880,2880,3600,14.331,4,25.0,1.5,2.0,2.0,8,15,-76.746,-26.2007,20.0,4.37,0.0,60.0,6.0
FARTCOIN/USDC:USDC,2,1440,3600,3600,4320,14.597,3,25.0,0.8,2.0,1.5,8,20,1.608,1.0698,35.0,1.99,10.0,45.0,5.9
TRUMP/USDC:USDC,0,0,2160,2160,2880,31.931,3,28.0,1.5,2.5,1.0,6,23,-1.069,-0.2096,47.8,0.48,4.3,39.1,4.5
TRUMP/USDC:USDC,1,720,2880,2880,3600,15.922,4,22.0,1.5,2.5,1.5,6,28,12.97,8.1407,46.4,1.35,14.3,28.6,5.0
TRUMP/USDC:USDC,2,1440,3600,3600,4320,19.486,2,25.0,1.5,2.0,2.0,8,20,-9.524,-3.0858,45.0,0.92,10.0,35.0,6.2
HYPE/USDC:USDC,0,0,2160,2160,2880,25.684,2,28.0,0.8,2.5,1.5,4,32,-0.469,-0.2354,59.4,1.23,0.0,28.1,3.6
HYPE/USDC:USDC,1,720,2880,2880,3600,29.278,4,28.0,1.5,2.5,1.0,4,12,90.854,18.6913,83.3,0.27,0.0,8.3,3.8
HYPE/USDC:USDC,2,1440,3600,3600,4320,32.997,4,28.0,1.5,2.5,1.0,4,17,8.149,2.0326,58.8,0.51,5.9,29.4,3.5
XRP/USDC:USDC,0,0,2160,2160,2880,11.969,4,28.0,1.2,2.5,2.0,8,23,0.625,0.2154,56.5,1.01,8.7,34.8,6.3
XRP/USDC:USDC,1,720,2880,2880,3600,19.178,4,28.0,1.5,2.5,2.0,4,23,-11.999,-7.8625,47.8,3.93,0.0,34.8,3.5
XRP/USDC:USDC,2,1440,3600,3600,4320,8.685,3,22.0,1.5,2.5,1.0,4,30,-2.347,-0.8373,40.0,1.44,6.7,53.3,2.6
TAO/USDC:USDC,0,0,2160,2160,2880,17.529,3,22.0,1.5,3.0,1.0,4,31,25.574,16.8377,45.2,0.81,3.2,45.2,3.1
TAO/USDC:USDC,1,720,2880,2880,3600,22.081,3,25.0,1.5,3.0,1.0,6,31,8.814,7.6011,41.9,1.91,9.7,51.6,4.1
TAO/USDC:USDC,2,1440,3600,3600,4320,25.147,3,28.0,1.5,2.0,1.0,4,18,-19.211,-6.9641,44.4,1.74,0.0,44.4,3.2
