symbol,fold,param_adx_rising_bars,param_adx_min,param_z_entry_min,param_z_entry_max,param_sl_mult,param_max_hold_bars,oos_n,oos_sharpe,oos_total_pnl,oos_mdd
AAVE/USDC:USDC,0,2,22.0,0.8,2.0,1.0,4,28,-7.561,-2.1036,0.62
AAVE/USDC:USDC,0,2,22.0,0.8,2.0,1.0,6,27,-21.392,-5.8737,1.4
AAVE/USDC:USDC,0,2,22.0,0.8,2.0,1.0,8,25,-14.768,-3.9146,0.93
AAVE/USDC:USDC,0,2,22.0,0.8,2.0,1.5,4,28,8.775,2.7093,0.77
AAVE/USDC:USDC,0,2,22.0,0.8,2.0,1.5,6,25,3.749,1.3498,1.22
AAVE/USDC:USDC,0,2,22.0,0.8,2.0,1.5,8,22,16.022,5.1402,0.94
AAVE/USDC:USDC,0,2,22.0,0.8,2.0,2.0,4,27,5.898,1.8913,0.83
AAVE/USDC:USDC,0,2,22.0,0.8,2.0,2.0,6,24,6.75,2.3786,0.94
AAVE/USDC:USDC,0,2,22.0,0.8,2.0,2.0,8,21,17.655,5.8085,0.73
AAVE/USDC:USDC,0,2,22.0,0.8,2.5,1.0,4,33,3.945,1.2536,0.67
AAVE/USDC:USDC,0,2,22.0,0.8,2.5,1.0,6,29,1.603,0.5131,0.84
AAVE/USDC:USDC,0,2,22.0,0.8,2.5,1.0,8,26,3.743,1.2421,0.78
AAVE/USDC:USDC,0,2,22.0,0.8,2.5,1.5,4,32,14.867,4.4179,0.5
AAVE/USDC:USDC,0,2,22.0,0.8,2.5,1.5,6,27,17.951,6.3381,0.65
AAVE/USDC:USDC,0,2,22.0,0.8,2.5,1.5,8,24,18.784,7.003,1.04
AAVE/USDC:USDC,0,2,22.0,0.8,2.5,2.0,4,32,16.561,5.3925,0.66
AAVE/USDC:USDC,0,2,22.0,0.8,2.5,2.0,6,27,21.717,7.6328,0.54
AAVE/USDC:USDC,0,2,22.0,0.8,2.5,2.0,8,23,20.262,7.6802,0.82
AAVE/USDC:USDC,0,2,22.0,0.8,3.0,1.0,4,36,-5.552,-1.8176,0.78
AAVE/USDC:USDC,0,2,22.0,0.8,3.0,1.0,6,30,-9.94,-3.2294,1.04
AAVE/USDC:USDC,0,2,22.0,0.8,3.0,1.0,8,29,-12.893,-4.1205,1.09
AAVE/USDC:USDC,0,2,22.0,0.8,3.0,1.5,4,35,17.476,6.5474,0.53
AAVE/USDC:USDC,0,2,22.0,0.8,3.0,1.5,6,28,6.238,2.2115,0.74
AAVE/USDC:USDC,0,2,22.0,0.8,3.0,1.5,8,26,10.407,3.9483,1.03
AAVE/USDC:USDC,0,2,22.0,0.8,3.0,2.0,4,35,15.663,6.5269,0.66
